# Machine-readable task graph. Used by scripts/autopilot.sh to compute which
# tasks are ready to start. Keep in sync with docs/08_TASK_INDEX.md.
#
# id	deps(comma, - for none)	est_days	mode	title
#
# mode=auto   : can be completed unattended by the autopilot
# mode=human  : requires physical hardware, real client data, or a person.
#               The autopilot must stop and hand these to the human.
P0-T01	-	1	auto	Solution scaffold and architecture tests
P0-T02	P0-T01	1	auto	Money and Quantity value objects
P0-T03	P0-T01	1.5	auto	Database bootstrap, SQLCipher, connection factory
P0-T04	P0-T03	1	auto	Minimal schema, migrations, append-only triggers
P0-T05	P0-T03	1.5	human	ESC/POS renderer and one printed receipt
P0-T06	P0-T02,P0-T04,P0-T05	1.5	auto	One sale, end to end
P0-T07	P0-T06	1.5	human	Backup snapshot, encryption, installer
P1-T01	P0-T04	2	auto	Full schema migration
P1-T02	P1-T01	2	auto	Users, authentication, roles, authorisation
P1-T03	P1-T01	1.5	auto	Settings framework
P1-T04	P1-T02,P1-T03	2	auto	Catalogue reference data
P1-T05	P1-T04	3	auto	Product, variant and UOM conversion domain
P1-T06	P1-T05	2	auto	Barcodes and product search
P1-T07	P1-T05	2	auto	Stock ledger and balance projection
P1-T08	P1-T05,P1-T03	2	auto	Pricing and discount engine
P1-T09	P1-T06,P1-T07,P1-T08	4	auto	Sales screen and bill building
P1-T10	P1-T09	2	auto	Tender, change and sale completion
P1-T11	P0-T05,P1-T10	3	human	Receipt templates and printing
P1-T12	P1-T06	1.5	human	Label printing
P1-T13	P1-T05,P1-T07	2.5	auto	Spreadsheet import
P1-T14	P1-T10	1.5	auto	Shift open (minimal) and dashboard
P1-T15	P0-T07,P1-T14	1.5	auto	Local and USB backup
P1-T16	P1-T01,P1-T02,P1-T03,P1-T04,P1-T05,P1-T06,P1-T07,P1-T08,P1-T09,P1-T10,P1-T11,P1-T12,P1-T13,P1-T14,P1-T15	2	auto	Phase 1 acceptance and performance gate
P2-T01	P1-T03,P1-T08	2	auto	Return policy engine
P2-T02	P2-T01,P1-T07,P1-T10	3	auto	Linked returns
P2-T03	P2-T02	1.5	auto	Unlinked returns
P2-T04	P2-T02	2	auto	Exchanges
P2-T05	P2-T02	2	auto	Credit notes
P2-T06	P1-T04	2	auto	Suppliers and purchase orders
P2-T07	P2-T06,P1-T07	3	auto	Goods receipt (GRN)
P2-T08	P1-T07	1.5	auto	Adjustments and damage
P2-T09	P1-T05,P1-T07	2	auto	Bulk breaking
P2-T10	P1-T07	2.5	auto	Stock take
P2-T11	P2-T07	1	auto	Reorder alerts and stock reports (interim)
P2-T12	P2-T01,P2-T02,P2-T03,P2-T04,P2-T05,P2-T06,P2-T07,P2-T08,P2-T09,P2-T10,P2-T11	1.5	auto	Phase 2 acceptance gate
P3-T01	P1-T14	2	auto	Shift lifecycle and cash management
P3-T02	P3-T01	1	auto	X report
P3-T03	P3-T02	2.5	auto	Z report, shift close and rollups
P3-T04	P3-T03	2	auto	Report query layer
P3-T05	P3-T04	2.5	auto	Sales, returns and profit reports
P3-T06	P3-T04,P2-T11	2	auto	Stock, tax and cash reports
P3-T07	P3-T05,P3-T06	1.5	auto	Export and print for all reports
P3-T08	P3-T04	1.5	auto	Audit log viewer and exception reporting
P3-T09	P3-T01,P3-T02,P3-T03,P3-T04,P3-T05,P3-T06,P3-T07,P3-T08	1.5	auto	Phase 3 acceptance gate
P4-T01	P1-T15	1.5	auto	Backup target abstraction
P4-T02	P4-T01	1	human	Least-privilege and immutability setup
P4-T03	P4-T01	2	auto	Upload worker with retry and backoff
P4-T04	P4-T02,P4-T03	1	auto	Retention and pruning
P4-T05	P4-T02	2.5	human	Backup web portal
P4-T06	P4-T05,P1-T15	2	human	Guided restore from cloud
P4-T07	P4-T06	1	auto	Monthly restore self-test
P4-T08	P4-T03	1.5	auto	Resilience hardening
P4-T09	P4-T06,P4-T07	0.5	human	Restore drill with the owner
P5-T01	P1-T08	2	auto	Trade pricing and quantity breaks
P5-T02	P1-T04,P1-T10	2.5	auto	Credit customers and accounts
P5-T03	P1-T09	1.5	auto	Quotations
P5-T04	P1-T11	1.5	auto	A4 invoice and document polish
P5-T05	P1-T09	1.5	human	Weighing scale integration
P5-T06	P1-T13	2	human	Data migration
P5-T07	P5-T06	2	auto	Documentation
P5-T08	P5-T06,P5-T07	1	human	Training
P5-T09	P5-T08,P4-T09,P3-T09,P2-T12,P1-T16	1	human	Go-live and handover
